18143;苹果 iPhone 5C（电信版）;980;sz ;h 
18241;iphone 5s（水货）;850;sz ;h 
18255;iPhone 5（电信版）;570;sz ;h 
16721;iphone 4S;540;sz 0;h 0
16728;iphone 4电信版;50;sz 0;h 0
16662;iphone 1代;5;sz 0;h 0
16737;iphone 4S电信版;450;sz 0;h 0
18720;苹果iPhone 6 Plus（国行A1524）;4250;sz ;h 
18589;苹果iPhone 6 Plus（国行A1593）;4050;sz ;h 
18464;苹果iPhone 6 Plus(港版A1524);3700;sz ;h 
16686;iphone 4代;360;sz 0;h 0
18717;苹果iPhone 6（国行A1586）;3550;sz ;h 
18865;苹果iPhone 6（港版A1586）;3350;sz ;h 
18861;苹果iPhone 6（国行A1589）;3200;sz ;h 
18949;苹果iPhone 6 Plus(水货);3050;sz ;h 
16671;iphone 2代;30;sz 0;h 0
18583;苹果iPhone 6(水货);2850;sz ;h 
18109;iphone 5s(A1528国行版);1900;sz ;h 
17872;苹果iPhone 5S（电信版）;1900;sz 0;h 0
18111;iphone 5s(A1530港版);1800;sz ;h 
18655;iphone 5s(A1530国行版);1700;sz ;h 
18643;iphone 5s(A1518国行版);1500;sz ;h 
16820;iPhone 5;1350;sz 0;h 0
18195;iPhone 5c;1050;sz ;h 
16677;iphone 3代;10;sz 0;h 0
18408;诺基亚930;940;sz 900;h 950
18742;Microsoft Lumia 535（联通3G）;90;sz ;h 
18203;诺基亚Lumia 1520;890;sz 1000;h 1000
16917;诺基亚 620;75;sz 75;h 75
17472;诺基亚 Lumia 1020;740;sz 750;h 750
16988;诺基亚 720;60;sz 60;h 60
18797;诺基亚Lumia 830;590;sz ;h 
15486;诺基亚 Lumia 800;50;sz 50;h 50
18178;诺基亚525（联通版）(Lumia 525) ;50;sz ;h 
15502;诺基亚 Lumia 800c(电信版);50;sz 0;h 0
17103;诺基亚520;50;sz 50;h 50
15311;诺基亚 5310XM;5;sz 5;h 5
15349;诺基亚 E55;5;sz 5;h 5
16627;诺基亚2323c;5;sz 5;h 5
15304;诺基亚 2730c;5;sz 5;h 5
15430;诺基亚 E75;5;sz 5;h 5
15480;诺基亚1682;5;sz 5;h 5
16999;诺基亚 3110;5;sz 5;h 5
15370;诺基亚 N70;5;sz 0;h 5
15400;诺基亚2600c;5;sz 5;h 5
15417;诺基亚 6270;5;sz 5;h 5
15461;诺基亚 2690;5;sz 5;h 5
17127;诺基亚3050;5;sz 5;h 5
15345;诺基亚 8208;5;sz 5;h 5
15393;诺基亚 7610;5;sz 5;h 5
15361;诺基亚1680c;5;sz 5;h 5
15285;诺基亚 E66;5;sz 5;h 5
15399;诺基亚 2332c;5;sz 5;h 5
15297;诺基亚 5233;5;sz 5;h 5
15455;诺基亚 X3-01(电信版);5;sz 0;h 0
15447;诺基亚 5250;5;sz 5;h 5
15353;诺基亚 3720c;5;sz 5;h 5
15289;诺基亚 N85;5;sz 5;h 5
15426;诺基亚 N80;5;sz 5;h 5
15487;诺基亚 3000;5;sz 5;h 5
16995;诺基亚1120;5;sz 0;h 0
15374;诺基亚 E50;5;sz 5;h 5
15501;诺基亚 500(Fate);5;sz 5;h 5
15299;诺基亚 N79;5;sz 5;h 5
15421;诺基亚 6080;5;sz 5;h 5
15335;诺基亚2320c;5;sz 5;h 5
15473;诺基亚 C2-03;5;sz 5;h 5
17123;诺基亚1100;5;sz 5;h 5
15366;诺基亚1508;5;sz 5;h 5
15397;诺基亚2100;5;sz 5;h 5
15342;诺基亚 5611XM;5;sz 5;h 5
17130;诺基亚N500;5;sz 5;h 5
15465;诺基亚1616;5;sz 5;h 5
15390;诺基亚1110;5;sz 5;h 5
15357;诺基亚2330c;5;sz 5;h 5
16764;诺基亚 3030;5;sz 5;h 5
15282;诺基亚 5230;5;sz 5;h 5
15387;诺基亚 E62;5;sz 0;h 5
15435;诺基亚 5235;5;sz 5;h 5
15324;诺基亚 5220XM;5;sz 5;h 5
15451;诺基亚 X3-02;5;sz 0;h 5
15312;诺基亚 5630XM;5;sz 5;h 5
16957;诺基亚 3080;5;sz 5;h 5
15413;诺基亚 6170;5;sz 5;h 5
15305;诺基亚 N82;5;sz 5;h 5
16998;诺基亚 3090;5;sz 5;h 5
15371;诺基亚 7260;5;sz 5;h 5
15402;诺基亚 2700c;5;sz 5;h 5
15418;诺基亚 6280;5;sz 5;h 5
15326;诺基亚 6122c;5;sz 5;h 5
15466;诺基亚2322;5;sz 5;h 5
17126;诺基亚2030;5;sz 5;h 5
15359;诺基亚1661;5;sz 5;h 5
15472;诺基亚 5232;5;sz 5;h 5
15394;诺基亚 7500;5;sz 5;h 5
15286;诺基亚 n97;5;sz 5;h 5
15300;诺基亚 E71;5;sz 5;h 5
15454;诺基亚 C3;5;sz 5;h 5
15329;诺基亚2220s;5;sz 5;h 5
15462;诺基亚 5238;5;sz 5;h 5
15383;诺基亚 3500c;5;sz 5;h 5
15291;诺基亚 n97mini;5;sz 5;h 5
15427;诺基亚 E51;5;sz 5;h 5
17471;诺基亚 1050 ;5;sz 5;h 5
15347;诺基亚 2680S;5;sz 5;h 5
15489;诺基亚 C2-05;5;sz 5;h 5
16993;诺基亚 3020;5;sz 5;h 5
15376;诺基亚 n72;5;sz 5;h 5
15301;诺基亚 5730XM;5;sz 5;h 5
15336;诺基亚2608;5;sz 5;h 5
17122;诺基亚1010;5;sz 5;h 5
15364;诺基亚 7212c;5;sz 5;h 5
15319;诺基亚 N76;5;sz 5;h 5
15459;诺基亚 E6-00;5;sz 5;h 5
15339;诺基亚 7310c;5;sz 5;h 5
15391;诺基亚 6131;5;sz 5;h 5
15358;诺基亚 7230;5;sz 5;h 5
15283;诺基亚 5530XM;(null);sz (null);h (null)
15388;诺基亚 N71;5;sz 0;h 5
15294;诺基亚 n96;5;sz 5;h 5
15313;诺基亚 5610XM;5;sz 5;h 5
15351;诺基亚 7612s;5;sz 5;h 5
15287;诺基亚 N86;5;sz 5;h 5
15424;诺基亚 7370;5;sz 5;h 5
15306;诺基亚 7100s;5;sz 5;h 5
15343;诺基亚 7210c;5;sz 5;h 5
15485;诺基亚 710(N710,Sword,利剑);5;sz 5;h 5
16997;诺基亚2050;5;sz 0;h 0
15490;诺基亚 C2-06;5;sz 5;h 5
15403;诺基亚2310;5;sz 5;h 5
15419;诺基亚 6288;5;sz 5;h 5
15332;诺基亚 6120ci;5;sz 5;h 5
15467;诺基亚 n91;5;sz 5;h 5
17125;诺基亚2020;5;sz 5;h 5
15395;诺基亚1208;5;sz 5;h 5
15423;诺基亚 7360;5;sz 5;h 5
15302;诺基亚 6120c;5;sz 5;h 5
15367;诺基亚1325;5;sz 5;h 5
15449;诺基亚 E7-00;5;sz 5;h 5
15499;诺基亚 Lumia 719C  ;5;sz 5;h 5
15290;诺基亚 E63;5;sz 5;h 5
15429;诺基亚 E65;5;sz 5;h 5
15321;诺基亚 5130XM;5;sz 5;h 5
15348;诺基亚1202;5;sz 5;h 5
15377;诺基亚 N73;5;sz 5;h 5
15303;诺基亚 5320XM;5;sz 5;h 5
15428;诺基亚 E52;5;sz 5;h 5
15401;诺基亚2600;5;sz 5;h 5
15491;诺基亚 C2-07;5;sz 5;h 5
15416;诺基亚 6268;5;sz 5;h 5
15460;诺基亚1600;5;sz 5;h 5
17128;诺基亚C1-01;5;sz 5;h 5
15341;诺基亚1681c;5;sz 5;h 5
15470;诺基亚 5236;5;sz 5;h 5
15392;诺基亚 6111;5;sz 5;h 5
15360;诺基亚2228;5;sz 5;h 5
15389;诺基亚 n93i;5;sz 0;h 5
15296;诺基亚 n78;5;sz 5;h 5
15440;诺基亚 7610s;5;sz 5;h 5
15327;诺基亚 5000;5;sz 5;h 5
15453;诺基亚 E5-00;5;sz 5;h 5
15446;诺基亚 5330XM;5;sz 5;h 5
15288;诺基亚 N81;5;sz 5;h 5
15425;诺基亚 7373;5;sz 5;h 5
15307;诺基亚 n900;5;sz 5;h 5
15344;诺基亚 3208c;5;sz 5;h 5
16996;诺基亚Asha 2010;5;sz 5;h 5
15373;诺基亚 5300;5;sz 5;h 5
15404;诺基亚2610;5;sz 5;h 5
17124;诺基亚1280;5;sz 5;h 5
15476;诺基亚 3806;5;sz 5;h 5
15396;诺基亚1650;5;sz 5;h 5
15441;诺基亚 2710c;5;sz 5;h 5
15412;诺基亚 6125;5;sz 5;h 5
15458;诺基亚 X2-01;5;sz 5;h 5
15464;诺基亚 C2-02;5;sz 5;h 5
15385;诺基亚 5700;5;sz 5;h 5
15356;诺基亚 7510a;5;sz 5;h 5
15386;诺基亚 E61i;5;sz 0;h 5
15292;诺基亚 X3-00;5;sz 5;h 5
15433;诺基亚 X5;5;sz 5;h 5
15450;诺基亚 5320di;5;sz 5;h 5
18121;诺基亚Lumia 1320;380;sz 330;h 330
18777;诺基亚3070;30;sz ;h 
15498;诺基亚 Lumia 610;30;sz 30;h 30
17132;诺基亚X2-02;30;sz 20;h 20
16990;诺基亚2060（双卡版）;30;sz 0;h 30
15497;诺基亚 X1-01;20;sz 20;h 20
15477;诺基亚 x7;20;sz 20;h 20
17133;诺基亚X2-05;20;sz 20;h 20
15463;诺基亚 E72i;20;sz ;h 
15496;诺基亚 T7-00;20;sz 20;h 20
15434;诺基亚 X2;20;sz 20;h 20
15298;诺基亚 E72;20;sz ;h 
17131;诺基亚X2-00;20;sz 10;h 10
15443;诺基亚 6681;2;sz 2;h 2
15378;诺基亚 6030;2;sz 2;h 2
15408;诺基亚 6021;2;sz 2;h 2
15338;诺基亚 3710f;2;sz 2;h 2
15409;诺基亚 6020;2;sz 2;h 2
15471;诺基亚 2760;2;sz 2;h 2
15328;诺基亚 7070 Prism;2;sz 2;h 2
15382;诺基亚 3120c;2;sz 2;h 2
15317;诺基亚 6210i;2;sz 2;h 2
15308;诺基亚 6220c;2;sz 2;h 2
15346;诺基亚 6202c;2;sz 2;h 2
15405;诺基亚 3100;2;sz 2;h 2
15414;诺基亚 6230;2;sz 2;h 2
15457;诺基亚 X5-01;2;sz 2;h 2
15333;诺基亚 5030;2;sz 2;h 2
15293;诺基亚 6760;2;sz 2;h 2
15350;诺基亚 6110n;2;sz 2;h 2
15379;诺基亚 2505;2;sz 2;h 2
15431;诺基亚 N-Gage QD;2;sz 0;h 5
15340;诺基亚 6208c;2;sz 2;h 2
15481;诺基亚 600;2;sz 2;h 2
15488;诺基亚 C1-02;2;sz 2;h 2
15410;诺基亚 6060;2;sz 2;h 2
15365;诺基亚 3610a;2;sz 2;h 2
15354;诺基亚 6710N;2;sz 2;h 2
15318;诺基亚 7020;2;sz 2;h 2
15309;诺基亚 6730c;2;sz 2;h 2
15406;诺基亚 3108;2;sz 2;h 2
15422;诺基亚 6680;2;sz 2;h 2
15479;诺基亚1200;2;sz 5;h 5
15368;诺基亚 3250;2;sz 2;h 2
15482;诺基亚 603;2;sz 2;h 2
15398;诺基亚2300;2;sz 2;h 2
15415;诺基亚 6233;2;sz 2;h 2
15468;诺基亚 6788i;2;sz 2;h 2
15439;诺基亚 5800W;2;sz 2;h 2
15325;诺基亚 2720a;2;sz 2;h 2
15380;诺基亚 2626;2;sz 2;h 2
15432;诺基亚 E90;2;sz 5;h 5
15372;诺基亚 5200;2;sz 2;h 2
15295;诺基亚 6303c;2;sz 2;h 2
15362;诺基亚 6316s;2;sz 2;h 2
15474;诺基亚 702T;2;sz 2;h 2
15411;诺基亚 6101;2;sz 2;h 2
15330;诺基亚 6720c;2;sz 2;h 2
15355;诺基亚 6210c;2;sz 2;h 2
15384;诺基亚 5070;2;sz 2;h 2
15438;诺基亚 6700s;2;sz 2;h 2
15407;诺基亚 3220;2;sz 2;h 2
15337;诺基亚 5802XM;2;sz 2;h 2
15478;诺基亚 6210s;2;sz 2;h 2
15369;诺基亚 3230;2;sz 2;h 2
15483;诺基亚 700(Zeta);2;sz 2;h 2
15320;诺基亚 6600s;2;sz 2;h 2
15284;诺基亚 5800;2;sz 2;h 2
15352;诺基亚 3600s;2;sz 2;h 2
15381;诺基亚 2630;2;sz 2;h 2
15316;诺基亚 6788;2;sz 2;h 2
15484;诺基亚 701(Helen);2;sz 2;h 2
15420;诺基亚 6630;2;sz 2;h 2
15334;诺基亚 6500c;2;sz 2;h 2
15363;诺基亚 3602s;2;sz 2;h 2
15314;诺基亚 6500s;2;sz 2;h 2
15331;诺基亚 6650 T-Mobile;2;sz 2;h 2
17470;诺基亚 925（联通版） ;150;sz 0;h 0
15500;诺基亚  PureView 808;140;sz 170;h 170
17469;诺基亚 925T（移动版） ;140;sz 0;h 0
18804;诺基亚638（移动TD-LTE版）;120;sz ;h 
18768;诺基亚 Lumia1090,;120;sz ;h 
15494;诺基亚 n9;100;sz 100;h 100
18627;诺基亚XL;100;sz 100;h 100
15442;诺基亚 N8;100;sz 100;h 100
17468;诺基亚 925（16GB） ;100;sz 150;h 150
18800;诺基亚530;100;sz 100;h 100
16989;诺基亚 920T（移动版）;100;sz 0;h 0
17467;诺基亚 625（单卡版） ;100;sz 100;h 100
15495;诺基亚 N9(64GB);100;sz 100;h 100
18633;诺基亚lumia526;100;sz 100;h 100
16847;诺基亚 920 Lumia 920;100;sz 100;h 100
15503;诺基亚 900 (Lumia 900);100;sz 100;h 100
18673;诺基亚636（联通TD-LTE版）;100;sz ;h 
16846;诺基亚 820  Lumia 820;100;sz 100;h 100
15322;诺基亚 6700c;100;sz 100;h 100
15323;诺基亚 X6-00;10;sz 10;h 10
16991;诺基亚 610C;10;sz 10;h 10
15436;诺基亚 C5-00;10;sz 10;h 10
15315;诺基亚 n95;10;sz 10;h 10
15444;诺基亚 C5-03;10;sz 10;h 10
15493;诺基亚 C5-05;10;sz 10;h 10
15448;诺基亚 C7;10;sz 10;h 10
15437;诺基亚 C6;10;sz 10;h 10
17129;C3-00;10;sz 10;h 10
15452;诺基亚 C6-01;10;sz 10;h 10
15445;诺基亚 C5-01;10;sz 10;h 10
16955;诺基亚 510 ;10;sz 10;h 10
15456;诺基亚 C3-01;10;sz 10;h 10
15310;诺基亚 6300;10;sz 10;h 10
15492;诺基亚 C5-04;10;sz 10;h 10
17466;诺基亚 210（双卡版） ;10;sz 10;h 10
