苹果 iPhone 4s 国行;590
苹果 iPhone 5S 联通版 (A1528);1540
苹果 iPhone 5 国行版;1290
苹果 iPhone 4  国行;300
苹果 iPhone 5s 水货版;1440
三星 I9500 (GALAXY S4);490
苹果 iPhone 4 水货版;300
苹果 iPhone 4s 水货版;440
苹果 iPhone 5 水货版;900
苹果 iPhone 6 大陆行（A1586）三网版;3490
小米 M3 移动版;540
三星 N9006 Note3;1340
苹果 iPhone 5c  联通版;1150
魅族 MX3  ;400
三星 N7100 Note2 ;650
苹果 iPhone 5S 移动4G (A1530);2120
小米2S;350
苹果 iPhone 5S 电信版 (A1533);950
魅族 MX2;160
小米红米（移动版）;230
苹果 iPhone 3GS 3代;70
HTC One 802d 电信版;430
三星 I9508 Galaxy S4 移动版;490
苹果 iPhone 5  电信版;1100
HTC One 802t 移动版;400
索尼LT26ii（Xperia SL）;110
三星 I9502（GALAXY S4 联通双卡版）;460
OPPO N1（移动版）;420
小米 1S;40
三星 W899;490
TCL idol X（S950）;160
华为Ascend P6（电信版/16GB）;350
诺基亚 5230;5
谷歌 HTC G11 IncredibleS S710e;5
魅族MX4;780
三星N7102（Note2/32G/联通版）;640
三星 I9220（Galaxy Note）N7000;80
小米M1;30
三星 I9100;70
索尼L39h（Xperia Z1）;540
三星 I9308（GALAXY S3 移动版）;350
诺基亚 Lumia 820;70
索尼 LT18i;80
三星GALAXY S4 Zoom（C101/8GB）;260
三星 GALAXY S5 G9006V 联通版;1190
三星 N9005 Note3;1390
三星 W2014;4090
三星 N7108;540
三星 I8552（Galaxy Win）;200
HTC One X S720e S720t G23;60
联想 K900;160
三星 N9008V Note3 移动版;1830
诺基亚Lumia 1520;1100
诺基亚 Lumia 920;190
小米4 M4 3GRAM 移动版;1100
OPPO X907 Finder ;80
HTC 8X C620e/d/t;50
魅族 MX2 联通版 TD公开版;160
苹果 iPhone 4 电信写号机;20
索尼 LT22i（Xperia P）;90
诺基亚 Lumia 1020;730
三星W2013;2320
苹果 iPhone 5S 港版 (A1530);1830
苹果 iPhone 6  plus 大陆行（A1593）移动版;3840
三星 I9300 GALAXY S3;350
苹果 iPhone 5c 水货版;830
索尼L36h（Xperia Z/联通3G）;350
苹果 iPhone 5S 移动版 (A1518);2020
小米 2A;220
三星 N9009 Note3 电信双卡版 ;1140
苹果 iPhone 4s 电信版;440
OPPO X909 Find5;320
苹果 iPhone 6  plus 大陆行（A1524）三网版;3930
三星W999;1050
诺基亚 Lumia 925;230
